name,affiliation,homepage,scholarid
Shanfeng Wang,Xidian University,,NOSCHOLARPAGE
Shankar Bhamidi,University of North Carolina,,NOSCHOLARPAGE
Shanqing Yu,Zhejiang University,,NOSCHOLARPAGE
Shanshan Wei,Harbin Institute of Technology,,NOSCHOLARPAGE
Shaohua Wan,Zhongnan University of Economics and Law,,NOSCHOLARPAGE
Shaojie Tang,University of Texas at Dallas,,NOSCHOLARPAGE
Shaowen Yu,China University of Petroleum,,NOSCHOLARPAGE
Shaoxiong Ji,Aalto University,,NOSCHOLARPAGE
Sharique Hasan,Stanford University,,NOSCHOLARPAGE
Sharon Goldwater,University of Edinburgh,,NOSCHOLARPAGE
Shasha Li,Zhejiang University,,NOSCHOLARPAGE
Shaurya Agarwal,California State University at Los Angeles,,NOSCHOLARPAGE
Shavak Agarwal,BITS Pilani,,NOSCHOLARPAGE
Sheena Iyengar,Columbia University,,NOSCHOLARPAGE
Shenghua Liu,Chinese Academy of Sciences,,NOSCHOLARPAGE
Shigemi Kagawa,Kyushu University,,NOSCHOLARPAGE
Shijian Li,Zhejiang University,,NOSCHOLARPAGE
Shijing Shen,Zhejiang University,,NOSCHOLARPAGE
Shilei Wang,Yanshan University,,NOSCHOLARPAGE
Shin-Kap Han,University of Illinois at Urbana-Champaign,,NOSCHOLARPAGE
Shiping Wang,Fuzhou University,,NOSCHOLARPAGE
Shiqing Wu,University of Tasmania,,NOSCHOLARPAGE
Shira Offer,Bar-Ilan University,,NOSCHOLARPAGE
Shirui Pan,Monash University,,NOSCHOLARPAGE
Shiyan Hu,Michigan Technological University,,NOSCHOLARPAGE
Shoaib Jameel,University of Essex,,NOSCHOLARPAGE
Shohei Shimizu,Shiga University,,NOSCHOLARPAGE
Shonali Krishnaswamy,Institute for Infocomm Research (I2R),,NOSCHOLARPAGE
Shou-De Lin,National Taiwan University,,NOSCHOLARPAGE
Shou-Fei Han,Nanjing University,,NOSCHOLARPAGE
Shravika Mittal,Indraprastha Institute of Information Technology Delhi,,NOSCHOLARPAGE
Shrisha Rao,International Institute of Information Technology,,NOSCHOLARPAGE
Shu-Sen Zhang,Renmin University of China,,NOSCHOLARPAGE
Shuai Cao,China University of Petroleum,,NOSCHOLARPAGE
Shuai Li 0002,Swansea University,,NOSCHOLARPAGE
Shuai Liu 0002,New York Institute of Technology,,NOSCHOLARPAGE
Shuai Wang 0005,Chinese Academy of Sciences,,NOSCHOLARPAGE
Shuangshuang Han,Chinese Academy of Sciences,,NOSCHOLARPAGE
Shufang Wang,Henan Polytechnic University,,NOSCHOLARPAGE
Shui Yu,University of Technology Sydney,,NOSCHOLARPAGE
Shuiqiao Yang,University of Technology Sydney,,NOSCHOLARPAGE
Shujuan Ji,Shandong University,,NOSCHOLARPAGE
Shuning Huang,Soochow University,,NOSCHOLARPAGE
Shunsuke Okamoto,Kyushu University,,NOSCHOLARPAGE
Shuo Chen 0006,Nanyang Technological University,,NOSCHOLARPAGE
Shuo Liu 0005,Institute of Forensic Science,,NOSCHOLARPAGE
Shuo Yan,Chinese Academy of Sciences,,NOSCHOLARPAGE
Shuo Yu,Dalian University of Technology,,NOSCHOLARPAGE
Shuofeng Wang,Tsinghua University,,NOSCHOLARPAGE
Shuowei Chen,UESTC,,NOSCHOLARPAGE
Shuqi Xu,UESTC,,NOSCHOLARPAGE
Shuyi Lu,Shanghai Normal University,,NOSCHOLARPAGE
SiYa Yao,Tongji University,,NOSCHOLARPAGE
Sibel Adali,Rensselaer Polytechnic Institute,,NOSCHOLARPAGE
Siddhartha Bhattacharyya,University of Illinois at Chicago,,NOSCHOLARPAGE
Sijia Xiao,Georgia Institute of Technology,,NOSCHOLARPAGE
Sijian Lv,Hunan University,,NOSCHOLARPAGE
Silke Adam,University of Bern,,NOSCHOLARPAGE
Silvia Snidero,University of Torino,,NOSCHOLARPAGE
Silvio Romero de Lemos Meira,UFPE,,NOSCHOLARPAGE
