name,affiliation,homepage,scholarid
Diliara Valeeva,University of Amsterdam,,NOSCHOLARPAGE
Dimitri Fazito,Federal University of Minas Gerais,,NOSCHOLARPAGE
Dinesh Kumar Saini,Sohar University,,NOSCHOLARPAGE
Ding-Zhu Du,University of Texas at Dallas,,NOSCHOLARPAGE
Dinnus H. M. Frijters,VU Amsterdam,,NOSCHOLARPAGE
Dino Dittrich,Tilburg University,,NOSCHOLARPAGE
Dino P. Christenson,Boston University,,NOSCHOLARPAGE
Dirk-Jan van Veen,ETH Zurich,,NOSCHOLARPAGE
Dixon Vimalajeewa,Waterford Institute of Technology,,NOSCHOLARPAGE
Djellel Eddine Difallah,York University,,NOSCHOLARPAGE
Djoerd Hiemstra,University of Twente,,NOSCHOLARPAGE
Dmitri Goldenberg,Tel-Aviv University,,NOSCHOLARPAGE
Domenico Brunetto,Politecnico di Milano,,NOSCHOLARPAGE
Domenico De Stefano,Ca' Foscari University of Venice,,NOSCHOLARPAGE
Dominic DiFranzo,Cornell University,,NOSCHOLARPAGE
Dong Liao,Xi'an Jiaotong University,,NOSCHOLARPAGE
Dongkyun Im,Seoul National University,,NOSCHOLARPAGE
Dongning Liu,Guangdong University of Technology,,NOSCHOLARPAGE
Dongpu Cao,University of Waterloo,,NOSCHOLARPAGE
Dongwei Xu,Zhejiang University,,NOSCHOLARPAGE
Dongxiao Yu,Shandong University,,NOSCHOLARPAGE
Dorothy Espelage,University of Florida,,NOSCHOLARPAGE
Dorottya Kisfalusi,Hungarian Academy of Sciences,,NOSCHOLARPAGE
Douglas Adams 0003,University of Arkansas,,NOSCHOLARPAGE
Douglas D. Heckathorn,Cornell University,,NOSCHOLARPAGE
Douglas L. Steinley,University of Missouri,,NOSCHOLARPAGE
Douglas W. Lowery-North,Emory University,,NOSCHOLARPAGE
Drazen Cepic,University of Zadar,,NOSCHOLARPAGE
Du Q. Huynh,University of Western Australia,,NOSCHOLARPAGE
Duan-Shin Lee,National Tsing Hua University,,NOSCHOLARPAGE
Dumidu S. Talagala,University of Surrey,,NOSCHOLARPAGE
Duo Xu,Shanghai Normal University,,NOSCHOLARPAGE
Durvasula V. L. N. Somayajulu,Indian Institute of Information Technology,,NOSCHOLARPAGE
Dusit Niyato,Nanyang Technological University,,NOSCHOLARPAGE
Dusko Pavlovic,University of Hawaii at Manoa,,NOSCHOLARPAGE
Duy Quang Vu,University of Melbourne,,NOSCHOLARPAGE
Duy Vu,University of Melbourne,,NOSCHOLARPAGE
