name,affiliation,homepage,scholarid
Christian Tallberg,Stockholm University,,NOSCHOLARPAGE
Christina Prell,University of Maryland - College Park,,NOSCHOLARPAGE
Christina Salmivalli,University of Turku,,NOSCHOLARPAGE
Christofer R. Edling,Lund University,,NOSCHOLARPAGE
Christoph H. Loch,HP Labs,,NOSCHOLARPAGE
Christoph Houman Ellersgaard,Copenhagen Business School,,NOSCHOLARPAGE
Christoph Stadtfeld,ETH Zurich,,NOSCHOLARPAGE
Christophe Vandeviver,Ghent University,,NOSCHOLARPAGE
Christopher C. Yang,Drexel University,,NOSCHOLARPAGE
Christopher J. Cameron,Cornell University,,NOSCHOLARPAGE
Christopher L. Magee,Massachusetts Institute of Technology,,NOSCHOLARPAGE
Christopher Marquis,Harvard University,,NOSCHOLARPAGE
Christopher McCarty,University of Florida,,NOSCHOLARPAGE
Christopher R. Browning,Ohio State University,,NOSCHOLARPAGE
Christopher Steven Marcum,National Human Genome Research Institute,,NOSCHOLARPAGE
Christopher Sukhu,University of Chicago,,NOSCHOLARPAGE
ChuanRen Liu,University of Tennessee,,NOSCHOLARPAGE
Chun Xu,Sichuan University,,NOSCHOLARPAGE
Chunbo Luo,University of Exeter,,NOSCHOLARPAGE
Chungang Yan,Tongji University,,NOSCHOLARPAGE
Chunhua Gu,Shanghai University,,NOSCHOLARPAGE
Chunming Rong,University of Stavanger,,NOSCHOLARPAGE
Chunxiang Xu,UESTC,,NOSCHOLARPAGE
Chyi-In Wu,Academia Sinica,,NOSCHOLARPAGE
Ciro Cattuto,Institute for Scientific Interchange (ISI) Foundation,,NOSCHOLARPAGE
Claire Bidart,University of the Mediterranean,,NOSCHOLARPAGE
Claude S. Fischer,University of California - Berkeley,,NOSCHOLARPAGE
Claudia Brandelero Rizzi,Western Paraná State University,,NOSCHOLARPAGE
Claudia Müller 0002,University of Siegen,,NOSCHOLARPAGE
Claudia Wagner,GESIS - Leibniz Institute for the Social Sciences,,NOSCHOLARPAGE
Clémence Magnien,CNRS,,NOSCHOLARPAGE
Clemens Kroneberg,Institute of Sociology,,NOSCHOLARPAGE
Clemens Lechner,GESIS - Leibniz Institute for the Social Sciences,,NOSCHOLARPAGE
Cliff Lampe,University of Michigan,,NOSCHOLARPAGE
Cohen R. Simpson,University of Oxford,,NOSCHOLARPAGE
Colin M. Gray,Purdue University,,NOSCHOLARPAGE
Colin Roberts,Cardiff University,,NOSCHOLARPAGE
Collins Census,Southwest Jiaotong University,,NOSCHOLARPAGE
Cong Yang,University of Siegen,,NOSCHOLARPAGE
Congtao Wang,Anhui University,,NOSCHOLARPAGE
Congyu Wu,University of Virginia,,NOSCHOLARPAGE
Conrad Lee,University College Dublin,,NOSCHOLARPAGE
Conrado Manuel,Universidad Complutense de Madrid,,NOSCHOLARPAGE
Cordula Wagner,NIVEL: Netherlands Institute for Health Services Research,,NOSCHOLARPAGE
Corey Pennycuff,University of Notre Dame,,NOSCHOLARPAGE
Corina Graif,Pennsylvania State University,,NOSCHOLARPAGE
Craig Pearson,University of Melbourne,,NOSCHOLARPAGE
Csaba Pléh,Central European University,,NOSCHOLARPAGE
Cuihua Shen,University of California - Davis,,NOSCHOLARPAGE
Curtis L. Maines,Liverpool John Moores University,,NOSCHOLARPAGE
Cynthia Giguère,University of Montreal,,NOSCHOLARPAGE
Cynthia M. Lakon,University of California - Irvine,,NOSCHOLARPAGE
Cynthia M. Webster,University of New South Wales,,NOSCHOLARPAGE
Cyprian Wejnert,Cornell University,,NOSCHOLARPAGE
